Unamed,Source Port,Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max,Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count, ACK Flag Count,URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size,Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std, Idle Max,Idle Min,SimillarHTTP, Inbound,Label
28879.45,700,56101,51,0,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,9.81E+08,666666.6667,3,0,3,1,3,3,0,3,2.6,0,0,0,0,0,0,0,0,64,0,666666.6667,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,1,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,32,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,0,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,9.81E+08,666666.6667,3,0,3,1,3,3,0,3,2.6,0,0,0,0,0,0,0,0,64,0,666666.6667,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,1,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,32,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,0,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,9.81E+08,666666.6667,3,0,3,1,3,3,0,3,2.6,0,0,0,0,0,0,0,0,64,0,666666.6667,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,1,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,32,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,7.36E+08,500000,4,0,4,1,4,4,0,4,2.6,0,0,0,0,0,0,0,0,64,0,500000,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
28879.45,700,56101,51,0,2,0,2944,0,2026.8,2321.2,1472,1,0,0,0,9.81E+08,666666.6667,3,0,3,1,3,3,0,3,2.6,0,0,0,0,0,0,0,0,64,0,666666.6667,0,1472,1302,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1952,0,64,-2.6,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1, BENING
